month,category_level,category1,category2,category3,retailer,index_type,matched_sku_count,retailer_avg_price,market_avg_price,price_index
2024-01,category1,Personal care,ALL,ALL,WATSONS,regular_price_index,250,73.00282332543955,73.3814281105107,99.48405912119756
2024-01,category1,Personal care,ALL,ALL,WELLCOME,regular_price_index,175,58.39648489294922,58.73667529166411,99.42082115300937
2024-01,category1,Rice / Oil / Canned food / Fruits / Vegetables / Meat,ALL,ALL,DCHFOOD,regular_price_index,27,42.02769620811288,39.07965864584171,107.54366252015575
2024-01,category1,Rice / Oil / Canned food / Fruits / Vegetables / Meat,ALL,ALL,JASONS,regular_price_index,101,55.62729655612947,54.913303211892924,101.30021925922298
2024-01,category1,Rice / Oil / Canned food / Fruits / Vegetables / Meat,ALL,ALL,PARKNSHOP,regular_price_index,83,50.58691818218369,52.196776901431384,96.91578902987101
2024-01,category1,Rice / Oil / Canned food / Fruits / Vegetables / Meat,ALL,ALL,WELLCOME,regular_price_index,107,52.70156427176928,52.87064902178473,99.68019165048308
2024-02,category1,Bakery / Cereals / Spreads,ALL,ALL,DCHFOOD,regular_price_index,2,62.0,62.50646551724138,99.18973899251802
2024-02,category1,Bakery / Cereals / Spreads,ALL,ALL,JASONS,regular_price_index,76,36.387868724393115,36.4682792207092,99.77950564700508
2024-02,category1,Bakery / Cereals / Spreads,ALL,ALL,PARKNSHOP,regular_price_index,57,37.45716878402904,36.862874735173385,101.61217499482913
2024-02,category1,Bakery / Cereals / Spreads,ALL,ALL,WELLCOME,regular_price_index,72,36.458283200941246,36.82981975691718,98.99120723797147
2024-02,category1,Beer / Wines / Spirits,ALL,ALL,JASONS,regular_price_index,39,54.731283055288365,55.242141770369,99.07523731211548
2024-02,category1,Beer / Wines / Spirits,ALL,ALL,PARKNSHOP,regular_price_index,39,57.08713627712302,56.01941851661126,101.90597794262209
2024-02,category1,Beer / Wines / Spirits,ALL,ALL,WELLCOME,regular_price_index,42,55.21933888497928,55.73642228430816,99.07227019938368
2024-02,category1,Candies / Biscuits / Snacks,ALL,ALL,DCHFOOD,regular_price_index,5,19.0,23.230689655172412,81.78835963128442
2024-02,category1,Candies / Biscuits / Snacks,ALL,ALL,JASONS,regular_price_index,162,29.198254976135004,28.973929051972593,100.77423370423813
2024-02,category1,Candies / Biscuits / Snacks,ALL,ALL,MANNINGS,regular_price_index,16,21.03663793103448,21.852351014496758,96.2671609891259
2024-02,category1,Candies / Biscuits / Snacks,ALL,ALL,PARKNSHOP,regular_price_index,138,28.734471926936465,28.81123668124471,99.73355966924454
2024-02,category1,Candies / Biscuits / Snacks,ALL,ALL,WATSONS,regular_price_index,3,20.133333333333333,21.340383141762455,94.34382316188615
2024-02,category1,Candies / Biscuits / Snacks,ALL,ALL,WELLCOME,regular_price_index,149,28.674014165289663,28.59294877323078,100.28351532645972
2024-02,category1,Dairy / Soy products / Eggs,ALL,ALL,AEON,regular_price_index,1,24.7,24.406896551724135,101.2009042102289
2024-02,category1,Dairy / Soy products / Eggs,ALL,ALL,DCHFOOD,regular_price_index,8,23.8125,25.1897501596424,94.53249773850892
2024-02,category1,Dairy / Soy products / Eggs,ALL,ALL,JASONS,regular_price_index,166,29.795076773603785,29.740272319104832,100.18427690880203
2024-02,category1,Dairy / Soy products / Eggs,ALL,ALL,PARKNSHOP,regular_price_index,153,29.857419169598472,29.62667797723233,100.77882910984303
2024-02,category1,Dairy / Soy products / Eggs,ALL,ALL,WATSONS,regular_price_index,6,19.25,20.782959770114942,92.62395834341518
2024-02,category1,Dairy / Soy products / Eggs,ALL,ALL,WELLCOME,regular_price_index,166,29.696385680664974,29.843845231443844,99.50589627564646
2024-02,category1,Drinks,ALL,ALL,AEON,regular_price_index,2,15.792857142857143,15.715024630541873,100.49527451687223
2024-02,category1,Drinks,ALL,ALL,DCHFOOD,regular_price_index,8,16.875,18.309759852216747,92.16396138563749
