month,category1,retailer,sku_count,brand_count,category_total_sku_count,exclusive_sku_count,common_sku_count,category_coverage_pct
2024-02,Dairy / Soy products / Eggs,JASONS,166,46,197,0,166,0.8426395939086294
2024-02,Dairy / Soy products / Eggs,PARKNSHOP,181,53,197,28,153,0.9187817258883249
2024-02,Dairy / Soy products / Eggs,WATSONS,6,2,197,0,6,0.030456852791878174
2024-02,Dairy / Soy products / Eggs,WELLCOME,166,46,197,0,166,0.8426395939086294
2024-02,Drinks,AEON,2,2,176,0,2,0.011363636363636364
2024-02,Drinks,DCHFOOD,8,4,176,0,8,0.045454545454545456
2024-02,Drinks,JASONS,144,63,176,0,144,0.8181818181818182
2024-02,Drinks,PARKNSHOP,159,62,176,29,130,0.9034090909090909
2024-02,Drinks,WATSONS,9,4,176,0,9,0.05113636363636364
2024-02,Drinks,WELLCOME,143,62,176,0,143,0.8125
2024-02,Household / Pet food and care,AEON,8,6,191,0,8,0.041884816753926704
2024-02,Household / Pet food and care,JASONS,141,57,191,1,140,0.7382198952879581
2024-02,Household / Pet food and care,MANNINGS,1,1,191,0,1,0.005235602094240838
2024-02,Household / Pet food and care,PARKNSHOP,175,66,191,43,132,0.9162303664921466
2024-02,Household / Pet food and care,WATSONS,41,21,191,1,40,0.21465968586387435
2024-02,Household / Pet food and care,WELLCOME,140,56,191,1,139,0.7329842931937173
2024-02,Milk powder / Baby care,AEON,10,3,141,3,7,0.07092198581560284
2024-02,Milk powder / Baby care,JASONS,70,21,141,2,68,0.49645390070921985
2024-02,Milk powder / Baby care,MANNINGS,100,23,141,2,98,0.7092198581560284
2024-02,Milk powder / Baby care,PARKNSHOP,97,28,141,3,94,0.6879432624113475
2024-02,Milk powder / Baby care,WATSONS,120,33,141,7,113,0.851063829787234
2024-02,Milk powder / Baby care,WELLCOME,69,20,141,0,69,0.48936170212765956
2024-02,Noodles / Cooking needs / Processed food (cold),DCHFOOD,17,10,275,1,16,0.06181818181818182
2024-02,Noodles / Cooking needs / Processed food (cold),JASONS,201,75,275,1,200,0.730909090909091
2024-02,Noodles / Cooking needs / Processed food (cold),PARKNSHOP,260,88,275,72,188,0.9454545454545454
2024-02,Noodles / Cooking needs / Processed food (cold),WELLCOME,199,73,275,0,199,0.7236363636363636
2024-02,Personal care,AEON,4,4,380,1,3,0.010526315789473684
2024-02,Personal care,JASONS,177,78,380,3,174,0.46578947368421053
2024-02,Personal care,MANNINGS,171,92,380,15,156,0.45
2024-02,Personal care,PARKNSHOP,233,104,380,31,202,0.6131578947368421
2024-02,Personal care,WATSONS,289,118,380,45,244,0.7605263157894737
2024-02,Personal care,WELLCOME,173,76,380,0,173,0.45526315789473687
2024-02,Rice / Oil / Canned food / Fruits / Vegetables / Meat,DCHFOOD,31,18,239,5,26,0.1297071129707113
2024-02,Rice / Oil / Canned food / Fruits / Vegetables / Meat,JASONS,112,52,239,11,101,0.4686192468619247
2024-02,Rice / Oil / Canned food / Fruits / Vegetables / Meat,PARKNSHOP,195,78,239,113,82,0.8158995815899581
2024-02,Rice / Oil / Canned food / Fruits / Vegetables / Meat,WELLCOME,100,46,239,0,100,0.41841004184100417
2024-03,Bakery / Cereals / Spreads,DCHFOOD,2,2,121,0,2,0.01652892561983471
2024-03,Bakery / Cereals / Spreads,JASONS,95,23,121,0,95,0.7851239669421488
2024-03,Bakery / Cereals / Spreads,PARKNSHOP,79,29,121,25,54,0.6528925619834711
2024-03,Bakery / Cereals / Spreads,WELLCOME,93,22,121,0,93,0.768595041322314
2024-03,Beer / Wines / Spirits,JASONS,40,22,50,0,40,0.8
2024-03,Beer / Wines / Spirits,PARKNSHOP,45,22,50,7,38,0.9
2024-03,Beer / Wines / Spirits,WELLCOME,43,23,50,0,43,0.86
2024-03,Candies / Biscuits / Snacks,DCHFOOD,7,6,248,1,6,0.028225806451612902
2024-03,Candies / Biscuits / Snacks,JASONS,211,75,248,1,210,0.8508064516129032
2024-03,Candies / Biscuits / Snacks,MANNINGS,16,12,248,0,16,0.06451612903225806
2024-03,Candies / Biscuits / Snacks,PARKNSHOP,168,73,248,32,136,0.6774193548387096
2024-03,Candies / Biscuits / Snacks,WATSONS,3,2,248,0,3,0.012096774193548387
2024-03,Candies / Biscuits / Snacks,WELLCOME,199,71,248,2,197,0.8024193548387096
2024-03,Dairy / Soy products / Eggs,AEON,1,1,227,0,1,0.004405286343612335
2024-03,Dairy / Soy products / Eggs,DCHFOOD,7,6,227,0,7,0.030837004405286344
2024-03,Dairy / Soy products / Eggs,JASONS,195,50,227,1,194,0.8590308370044053
2024-03,Dairy / Soy products / Eggs,PARKNSHOP,182,53,227,30,152,0.801762114537445
2024-03,Dairy / Soy products / Eggs,WATSONS,6,2,227,0,6,0.02643171806167401
2024-03,Dairy / Soy products / Eggs,WELLCOME,194,49,227,0,194,0.8546255506607929
2024-03,Drinks,AEON,3,3,206,0,3,0.014563106796116505
2024-03,Drinks,DCHFOOD,8,4,206,0,8,0.038834951456310676
2024-03,Drinks,JASONS,173,65,206,0,173,0.8398058252427184
2024-03,Drinks,PARKNSHOP,161,63,206,30,131,0.7815533980582524
2024-03,Drinks,WATSONS,9,4,206,0,9,0.043689320388349516
2024-03,Drinks,WELLCOME,172,64,206,0,172,0.8349514563106796
2024-03,Household / Pet food and care,AEON,8,6,232,0,8,0.034482758620689655
2024-03,Household / Pet food and care,JASONS,180,60,232,2,178,0.7758620689655172
2024-03,Household / Pet food and care,MANNINGS,1,1,232,0,1,0.004310344827586207
2024-03,Household / Pet food and care,PARKNSHOP,176,69,232,44,132,0.7586206896551724
2024-03,Household / Pet food and care,WATSONS,42,21,232,0,42,0.1810344827586207
2024-03,Household / Pet food and care,WELLCOME,180,59,232,2,178,0.7758620689655172
2024-03,Milk powder / Baby care,AEON,10,3,141,3,7,0.07092198581560284
2024-03,Milk powder / Baby care,JASONS,68,21,141,0,68,0.48226950354609927
2024-03,Milk powder / Baby care,MANNINGS,100,23,141,2,98,0.7092198581560284
2024-03,Milk powder / Baby care,PARKNSHOP,97,28,141,3,94,0.6879432624113475
2024-03,Milk powder / Baby care,WATSONS,121,33,141,8,113,0.8581560283687943
2024-03,Milk powder / Baby care,WELLCOME,68,20,141,0,68,0.48226950354609927
2024-03,Noodles / Cooking needs / Processed food (cold),DCHFOOD,18,10,339,1,17,0.05309734513274336
2024-03,Noodles / Cooking needs / Processed food (cold),JASONS,264,75,339,1,263,0.7787610619469026
2024-03,Noodles / Cooking needs / Processed food (cold),PARKNSHOP,259,88,339,74,185,0.7640117994100295
2024-03,Noodles / Cooking needs / Processed food (cold),WELLCOME,262,74,339,0,262,0.7728613569321534
2024-03,Personal care,AEON,4,4,380,1,3,0.010526315789473684
2024-03,Personal care,JASONS,175,77,380,0,175,0.4605263157894737
2024-03,Personal care,MANNINGS,169,94,380,13,156,0.44473684210526315
2024-03,Personal care,PARKNSHOP,237,106,380,32,205,0.6236842105263158
2024-03,Personal care,WATSONS,292,120,380,48,244,0.7684210526315789
2024-03,Personal care,WELLCOME,177,79,380,0,177,0.46578947368421053
2024-03,Rice / Oil / Canned food / Fruits / Vegetables / Meat,DCHFOOD,33,18,292,5,28,0.11301369863013698
2024-03,Rice / Oil / Canned food / Fruits / Vegetables / Meat,JASONS,165,53,292,5,160,0.565068493150685
2024-03,Rice / Oil / Canned food / Fruits / Vegetables / Meat,PARKNSHOP,196,80,292,114,82,0.6712328767123288
2024-03,Rice / Oil / Canned food / Fruits / Vegetables / Meat,WELLCOME,160,49,292,0,160,0.547945205479452
