year,category1,retailer,avg_sku_count,avg_brand_count,avg_category_coverage_pct,avg_exclusive_sku_count,avg_common_sku_count,matched_sku_count_promo_price_index,matched_sku_count_regular_price_index,price_index_promo_price_index,price_index_regular_price_index
2024,Bakery / Cereals / Spreads,AEON,2.0,2.0,0.017857142857142856,2.0,0.0,,,,
2024,Bakery / Cereals / Spreads,DCHFOOD,3.0,2.3333333333333335,0.026506802205300956,0.0,3.0,3.0,3.0,101.64418877187858,98.68079046988099
2024,Bakery / Cereals / Spreads,JASONS,87.33333333333333,22.333333333333332,0.7655306189501352,2.3333333333333335,85.0,85.0,85.0,100.77104876080807,100.38280246565945
2024,Bakery / Cereals / Spreads,PARKNSHOP,80.66666666666667,29.0,0.7093848950604581,22.0,58.666666666666664,58.666666666666664,58.666666666666664,99.26744665868465,100.46995181680603
2024,Bakery / Cereals / Spreads,WELLCOME,84.0,21.666666666666668,0.7353104047745416,0.6666666666666666,83.33333333333333,83.33333333333333,83.33333333333333,99.71920383294339,99.38525186459192
2024,Beer / Wines / Spirits,AEON,4.0,3.0,0.07272727272727272,4.0,0.0,,,,
2024,Beer / Wines / Spirits,DCHFOOD,7.0,7.0,0.12727272727272726,1.0,6.0,6.0,6.0,105.89728296908373,102.50005345874014
2024,Beer / Wines / Spirits,JASONS,36.333333333333336,21.0,0.713790970933828,0.0,36.333333333333336,36.333333333333336,36.333333333333336,98.3497382675963,98.45024185909507
2024,Beer / Wines / Spirits,PARKNSHOP,46.333333333333336,23.0,0.903834260977118,7.0,39.333333333333336,39.333333333333336,39.333333333333336,103.01872199500987,103.27616905235669
2024,Beer / Wines / Spirits,WELLCOME,42.333333333333336,22.333333333333332,0.826926406926407,0.3333333333333333,42.0,42.0,42.0,98.32217287601217,98.15705824567466
2024,Candies / Biscuits / Snacks,DCHFOOD,7.0,6.333333333333333,0.03279719791791862,1.0,6.0,5.666666666666667,5.666666666666667,100.91933337268877,84.67398700311212
2024,Candies / Biscuits / Snacks,JASONS,172.66666666666666,73.33333333333333,0.7947588274566079,2.6666666666666665,170.0,170.0,170.0,99.55939323183594,100.97734556621856
2024,Candies / Biscuits / Snacks,MANNINGS,16.0,12.0,0.07485071237802698,0.0,16.0,16.0,16.0,103.70054037328153,95.12296540886496
2024,Candies / Biscuits / Snacks,PARKNSHOP,170.0,73.66666666666667,0.7958847192231154,32.333333333333336,137.66666666666666,137.66666666666666,137.66666666666666,101.54598180185992,99.78963804859866
2024,Candies / Biscuits / Snacks,WATSONS,3.0,2.0,0.014034508570880061,0.0,3.0,3.0,3.0,98.23220960939723,94.2326281573989
