sku,product_name,brand,category1,category2,category3
P000004257,SPICY NACHO TORTILLA 35 GM,Meadows,Candies / Biscuits / Snacks,Snacks,Corn chips / Tortilla chips
P000004250,SPICY NACHO TORTILLA 198 GM,Meadows,Candies / Biscuits / Snacks,Snacks,Corn chips / Tortilla chips
P000001904,Corn (Salt) 68g,Tongari,Candies / Biscuits / Snacks,Snacks,Corn chips / Tortilla chips
P000000040,Crispy Prawn Cracker 36g,Four Seas,Candies / Biscuits / Snacks,Snacks,Crispy crackers
P000004243,CHICKEN MINI RAMEN CUBE 70 GM,Meadows,Candies / Biscuits / Snacks,Snacks,Noodle snacks
P000001377,Snack Noodle - Yakisoba 41g,Baby Star,Candies / Biscuits / Snacks,Snacks,Noodle snacks
P000001941,Snack Noodle - Chicken Flavour 45g,Baby Star,Candies / Biscuits / Snacks,Snacks,Noodle snacks
P000000601,Shelly Senbei 72g,Want Want,Candies / Biscuits / Snacks,Snacks,Crispy crackers
P000001908,Senbei 56g,Want Want,Candies / Biscuits / Snacks,Snacks,Crispy crackers
P000000070,Maipen (Rice Cracker) 72g,Want Want,Candies / Biscuits / Snacks,Snacks,Crispy crackers
P000000195,Seaweed Prawn Cracker 36g,Four Seas,Candies / Biscuits / Snacks,Snacks,Crispy crackers
P000004254,ROASTED CORN TORTILLA 35 GM,Meadows,Candies / Biscuits / Snacks,Snacks,Corn chips / Tortilla chips
P000003913,Nacho Cheese Tortilla 35 GM,Meadows,Candies / Biscuits / Snacks,Snacks,Corn chips / Tortilla chips
P000003425,Flamin' Hot Flavored Potato Chips 184.2g,Ruffles,Candies / Biscuits / Snacks,Snacks,Potato chips
P000003430,Sweet Chilli & Sour Cream Deli Style Potato Chips 165g,Red Rock Deli,Candies / Biscuits / Snacks,Snacks,Potato chips
P000001476,Potato Crisps - Sour Cream & Onion 110g,Pringles,Candies / Biscuits / Snacks,Snacks,Potato chips
P000000031,Potato Crisps - Original 110g,Pringles,Candies / Biscuits / Snacks,Snacks,Potato chips
P000003426,Potato Crisps - Hot & Spicy 110g,Pringles,Candies / Biscuits / Snacks,Snacks,Potato chips
P000003915,Tomato Crinkle Potato Chips 100 GM,Meadows,Candies / Biscuits / Snacks,Snacks,Potato chips
P000004246,TRUFFLE POTATO CHIPS 60 GM,Meadows,Candies / Biscuits / Snacks,Snacks,Potato chips
P000004253,TRUFFLE POTATO CHIPS 25 GM,Meadows,Candies / Biscuits / Snacks,Snacks,Potato chips
P000004239,SOUR CREAM & ONION POTATO CHIP 60 GM,Meadows,Candies / Biscuits / Snacks,Snacks,Potato chips
P000003678,Potato Chips (Original) 60g,Meadows,Candies / Biscuits / Snacks,Snacks,Potato chips
P000000608,Original Potato Chips 180g,Ruffles,Candies / Biscuits / Snacks,Snacks,Potato chips
P000003918,Nacho Cheese Tortilla 198 GM,Meadows,Candies / Biscuits / Snacks,Snacks,Corn chips / Tortilla chips
P000000048,Nacho Cheese Flavored Tortilla Chips 31.8g,Doritos,Candies / Biscuits / Snacks,Snacks,Corn chips / Tortilla chips
P000003433,Nacho Cheese Flavored Tortilla Chips 190g,Doritos,Candies / Biscuits / Snacks,Snacks,Corn chips / Tortilla chips
P000003434,Crunchy Cheese Flavored Snacks 215g,Cheetos,Candies / Biscuits / Snacks,Snacks,Corn chips / Tortilla chips
